market,zip,home_value,home_value_12m_pct,overvaluation_pr_pct,price_to_rent,rent,rent_12m_pct
"San Francisco, CA",94102,745362.0,6.8,-22.9,16.8,3702.0,21.2
"San Francisco, CA",94103,823531.0,5.4,-29.1,16.0,4287.0,25.8
"San Francisco, CA",94105,1127243.0,7.2,-26.8,16.3,5758.0,27.5
"San Francisco, CA",94107,1040849.0,8.4,-26.9,18.1,4781.0,25.1
"San Francisco, CA",94108,1045061.0,12.6,-20.5,23.7,3677.0,25.1
"San Francisco, CA",94109,1065276.0,8.2,-23.1,23.3,3811.0,25.4
"San Francisco, CA",94110,1413716.0,12.6,-17.0,26.6,4428.0,22.8
"San Francisco, CA",94112,1165294.0,8.2,-9.1,29.2,3321.0,6.9
"San Francisco, CA",94114,1997982.0,17.3,-13.1,28.6,5815.0,25.5
"San Francisco, CA",94115,1529903.0,14.7,-18.9,27.4,4646.0,24.9
"San Francisco, CA",94116,1623833.0,13.5,-12.8,31.5,4299.0,22.2
"San Francisco, CA",94117,1668808.0,14.3,-18.3,29.1,4779.0,23.8
"San Francisco, CA",94118,2240162.0,15.4,-12.2,44.0,4247.0,18.0
"San Francisco, CA",94121,1820717.0,14.5,-11.7,37.8,4010.0,18.6
"San Francisco, CA",94122,1701483.0,11.4,-14.7,37.0,3828.0,22.1
"San Francisco, CA",94123,2490120.0,16.3,-16.6,41.1,5052.0,26.9
"San Francisco, CA",94124,930768.0,5.1,,,4013.0,
"San Francisco, CA",94127,2010403.0,14.8,,,5577.0,
"San Francisco, CA",94131,1747653.0,16.0,-18.4,32.0,4551.0,27.2
"San Francisco, CA",94132,1373148.0,10.0,,,3347.0,
"San Francisco, CA",94133,1420865.0,13.6,-18.8,25.3,4680.0,27.3
"San Francisco, CA",94134,1070089.0,5.3,,,3870.0,
"San Francisco, CA",94158,1348043.0,10.5,-24.0,20.1,5587.0,27.1
"Toledo, OH",43606,197771.0,5.4,-1.0,14.4,1145.0,10.4
"Toledo, OH",43607,80819.0,3.0,-3.7,5.8,1159.0,6.3
"Toledo, OH",43611,159186.0,7.3,,,,
"Toledo, OH",43612,120910.0,5.4,1.5,9.2,1093.0,4.0
"Toledo, OH",43613,162500.0,5.3,1.8,13.5,1000.0,6.7
"Toledo, OH",43614,207100.0,5.8,-0.4,14.9,1159.0,4.7
"Toledo, OH",43615,183529.0,3.5,-0.1,11.9,1281.0,4.0
"Toledo, OH",43620,94087.0,2.7,,,,
"Toledo, OH",43623,211379.0,3.4,,,991.0,
