fips,units_all,units_hcv
01001,261,104.0
01003,864,374.0
01005,889,364.0
01007,119,
01009,458,96.0
01011,469,469.0
01013,507,181.0
01015,2164,743.0
01017,632,171.0
01019,270,60.0
01021,190,
01025,103,5.0
01027,396,12.0
01029,106,9.0
01031,812,318.0
01033,1297,414.0
01035,262,82.0
01037,49,9.0
01039,631,105.0
01041,375,133.0
01043,773,190.0
01045,1016,557.0
01047,2089,1162.0
01049,989,242.0
01051,253,110.0
01053,383,143.0
01055,2117,309.0
01057,363,53.0
01059,759,108.0
01061,345,64.0
01063,302,
01065,180,
01067,246,75.0
01069,2217,1571.0
01071,706,179.0
01073,19203,9478.0
01075,474,49.0
01077,1931,689.0
01079,247,7.0
01081,1999,1151.0
01083,968,374.0
01085,352,351.0
01087,777,281.0
01089,4442,2001.0
01091,399,19.0
01093,953,59.0
01095,2099,737.0
01097,12501,7633.0
01099,319,81.0
01101,5154,3023.0
01103,1936,746.0
01105,320,53.0
01107,389,76.0
01109,1040,600.0
01111,218,38.0
01113,1854,1023.0
01115,324,154.0
01117,575,287.0
01119,518,104.0
01121,1769,538.0
01123,1001,266.0
01125,4905,2364.0
01127,1539,752.0
01129,31,
01131,161,13.0
01133,463,46.0
02020,3874,2624.0
02050,138,
02063,122,77.0
02070,10,
02090,1162,562.0
02100,5,
02105,2,
02110,754,331.0
02122,626,549.0
02130,200,119.0
02150,147,107.0
02158,1,
02170,623,519.0
02180,33,
02188,4,
02195,86,38.0
02198,1,1.0
02220,92,44.0
02275,46,26.0
04001,78,15.0
04003,1203,760.0
04005,939,553.0
04007,123,62.0
04009,66,36.0
04013,24843,15338.0
04015,725,559.0
04017,267,120.0
04019,9048,5953.0
04021,1183,873.0
04023,466,202.0
04025,565,281.0
04027,2294,1858.0
05001,789,453.0
05003,438,224.0
05005,477,403.0
05007,982,546.0
05009,790,625.0
05011,285,70.0
05013,18,18.0
05015,315,137.0
05017,370,233.0
05019,531,222.0
05021,309,173.0
05023,243,139.0
05025,32,
05027,364,101.0
05029,385,179.0
05031,2205,1342.0
05033,828,432.0
05035,1380,584.0
05037,487,236.0
05039,144,26.0
05041,707,347.0
05043,453,267.0
05045,788,386.0
05047,149,109.0
05049,186,85.0
05051,1610,1116.0
05053,70,37.0
05055,862,716.0
05057,485,189.0
05059,322,52.0
05061,237,47.0
05063,540,277.0
05065,195,165.0
05067,767,328.0
05069,1773,1130.0
05071,405,194.0
05073,52,43.0
05075,554,379.0
05077,612,168.0
05079,134,58.0
05081,257,53.0
05083,313,175.0
05085,1222,845.0
05087,112,10.0
05089,155,44.0
05091,1157,834.0
05093,1703,655.0
