"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","3","23","54","0","2024","A","N",3,0,0,0,0,0,0,"N",0.05,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","23","54","0","2024","A","",12667,106835,7816543898,1240439278,8574722,1407,73164,"",1.01,0.97,1.06,0.91,0.76,1.10,1.10,"",430,3.5,5535,5.5,805208458,11.5,62985294,5.3,-2449238,-22.2,76,5.7,3950,5.7
"01001","5","23","74","0","2024","A","",109,572,34821536,6604559,35879,1170,60832,"",1.25,0.88,0.98,0.92,0.59,1.12,1.12,"",6,5.8,-146,-20.3,-11042988,-24.1,-3022110,-31.4,-112453,-75.8,-58,-4.7,-3017,-4.7
"01003","5","23","74","0","2024","A","",957,5859,414786648,70454991,461701,1361,70798,"",1.40,1.31,1.69,1.19,0.92,1.29,1.29,"",35,3.8,525,9.8,72675241,21.2,8245353,13.3,68079,17.3,128,10.4,6659,10.4
"01005","5","23","74","0","2024","A","",32,147,10122711,1483982,9389,1327,69018,"",0.69,0.36,0.51,0.30,0.21,1.41,1.41,"",2,6.7,2,1.4,470390,4.9,-395883,-21.1,-11581,-55.2,51,4.0,2641,4.0
"01007","5","23","74","0","2024","A","",42,757,60787620,9343242,62834,1544,80265,"",1.21,2.99,4.22,3.29,2.31,1.41,1.41,"",2,5.0,-2,-0.3,-1549226,-2.5,116864,1.3,-16448,-20.7,-36,-2.3,-1874,-2.3
"01009","5","23","74","0","2024","A","",142,664,39140785,7105543,59823,1134,58947,"",1.91,1.39,1.67,1.39,1.43,1.20,1.20,"",6,4.4,55,9.0,6363512,19.4,423399,6.3,-11084,-15.6,100,9.7,5162,9.6
"01011","5","23","74","0","2024","A","N",6,0,0,0,0,0,0,"N",0.37,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","23","74","0","2024","A","",35,227,13479795,2624360,27490,1142,59361,"",0.85,0.64,0.77,0.57,0.69,1.21,1.21,"",1,2.9,15,7.1,1289904,10.6,67633,2.6,-4754,-14.7,38,3.4,1929,3.4
"01015","5","23","74","0","2024","A","",193,1142,79542351,13001204,87957,1339,69642,"",0.88,0.50,0.63,0.52,0.44,1.26,1.26,"",5,2.7,77,7.2,11478159,16.9,1385722,11.9,-1922,-2.1,110,9.0,5732,9.0
"01017","5","23","74","0","2024","A","",67,246,14265040,2483467,15482,1115,57988,"",1.11,0.52,0.53,0.43,0.31,1.04,1.04,"",3,4.7,-19,-7.2,-72390,-0.5,-78020,-3.0,560,3.8,75,7.2,3918,7.2
"01019","5","23","74","0","2024","A","",32,106,6376960,1407512,9779,1161,60350,"",0.83,0.38,0.47,0.43,0.39,1.26,1.26,"",1,3.2,-17,-13.8,-1242229,-16.3,-226061,-13.8,330,3.5,-31,-2.6,-1637,-2.6
"01021","5","23","74","0","2024","A","",102,548,37992165,5917724,31592,1334,69392,"",1.42,1.14,1.55,1.06,0.57,1.36,1.36,"",7,7.4,9,1.7,5801329,18.0,240760,4.2,-11345,-26.4,185,16.1,9660,16.2
"01023","5","23","74","0","2024","A","N",22,0,0,0,0,0,0,"N",0.80,0,0,0,0,0,0,"N",-1,-4.3,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","23","74","0","2024","A","",29,162,9878621,1888602,15843,1169,60792,"",0.51,0.38,0.42,0.38,0.38,1.11,1.11,"",-4,-12.1,3,1.9,659467,7.2,-43081,-2.2,-5858,-27.0,51,4.6,2658,4.6
"01027","5","23","74","0","2024","A","",15,36,1915691,350824,3142,1014,52725,"",0.76,0.16,0.18,0.13,0.18,1.10,1.10,"",-1,-6.2,-2,-5.3,83294,4.5,-23174,-6.2,-1988,-38.8,78,8.3,4077,8.4
"01029","5","23","74","0","2024","A","",28,456,33612325,4778912,40471,1416,73657,"",1.24,3.19,4.00,2.88,2.69,1.25,1.25,"",1,3.7,77,20.3,851252,2.6,226496,5.0,-17346,-30.0,-248,-14.9,-12879,-14.9
"01031","5","23","74","0","2024","A","",94,433,23074048,4267387,20518,1025,53299,"",0.88,0.48,0.51,0.37,0.25,1.07,1.07,"",2,2.2,15,3.6,2424351,11.7,-58508,-1.4,2135,11.6,76,8.0,3927,8.0
"01033","5","23","74","0","2024","A","",139,1738,114635543,19648919,147843,1268,65943,"",1.10,1.35,1.43,1.27,1.08,1.06,1.06,"",12,9.4,30,1.8,-1718188,-1.5,266154,1.4,-42597,-22.4,-42,-3.2,-2186,-3.2
"01035","5","23","74","0","2024","A","",13,87,4183371,1028123,5243,928,48270,"",0.58,0.50,0.47,0.50,0.36,0.94,0.94,"",1,8.3,6,7.4,230656,5.8,145788,16.5,-11834,-69.3,-6,-0.6,-279,-0.6
"01037","5","23","74","0","2024","A","",14,35,1652843,367614,2712,900,46779,"",1.14,0.46,0.39,0.39,0.25,0.85,0.85,"",0,0.0,-2,-5.4,-82740,-4.8,-50176,-12.0,524,23.9,-8,-0.9,-448,-0.9
"01039","5","23","74","0","2024","A","",93,559,31176397,6003634,51721,1072,55738,"",1.05,0.87,0.95,0.82,0.79,1.09,1.09,"",4,4.5,4,0.7,2618310,9.2,-199598,-3.2,-28118,-35.2,83,8.4,4297,8.4
"01041","5","23","74","0","2024","A","",27,116,6607107,1226265,8473,1095,56917,"",1.16,0.62,0.68,0.55,0.28,1.10,1.10,"",3,12.5,5,4.5,982153,17.5,88299,7.8,-2838,-25.1,119,12.2,6166,12.1
"01043","5","23","74","0","2024","A","",260,1592,98431148,16795515,131077,1189,61822,"",1.45,0.98,1.09,0.82,0.99,1.11,1.11,"",5,2.0,133,9.1,14841382,17.8,926211,5.8,-19478,-12.9,87,7.9,4513,7.9
"01045","5","23","74","0","2024","A","",80,708,43996194,7633950,40228,1194,62098,"",0.91,0.74,0.67,0.77,0.52,0.90,0.90,"",3,3.9,96,15.7,7110904,19.3,1053840,16.0,3206,8.7,36,3.1,1861,3.1
"01047","5","23","74","0","2024","A","",57,507,32797732,6173345,75513,1243,64647,"",0.75,0.86,1.04,0.88,0.90,1.21,1.21,"",3,5.6,27,5.6,956507,3.0,119270,2.0,-12844,-14.5,-33,-2.6,-1712,-2.6
"01049","5","23","74","0","2024","A","",106,744,50998811,7790628,55568,1318,68554,"",0.92,0.61,0.77,0.50,0.53,1.27,1.27,"",5,5.0,124,20.0,9612606,23.2,1360328,21.2,3633,7.0,33,2.6,1757,2.6
"01051","5","23","74","0","2024","A","",200,1022,66559711,11790910,63972,1252,65111,"",1.44,0.90,1.14,0.90,0.72,1.27,1.26,"",4,2.0,43,4.4,6834314,11.4,132331,1.1,-27357,-30.0,79,6.7,4094,6.7
"01053","5","23","74","0","2024","A","",75,429,26366681,4818614,34562,1183,61497,"",1.03,0.63,0.71,0.61,0.60,1.12,1.12,"",0,0.0,-24,-5.3,1644036,6.6,-201853,-4.0,-6730,-16.3,133,12.7,6881,12.6
"01055","5","23","74","0","2024","A","",158,1078,63222566,11684976,104787,1128,58648,"",0.83,0.62,0.73,0.52,0.61,1.18,1.17,"",9,6.0,85,8.6,8342595,15.2,1224249,11.7,10534,11.2,65,6.1,3372,6.1
"01057","5","23","74","0","2024","A","",30,126,6197171,1539220,11185,949,49347,"",1.04,0.61,0.62,0.70,0.50,1.03,1.02,"",-2,-6.2,-35,-21.7,-2415259,-28.0,-844145,-35.4,-35729,-76.2,-82,-8.0,-4285,-8.0
"01059","5","23","74","0","2024","A","",58,217,12329446,2305318,22875,1091,56752,"",1.08,0.38,0.41,0.34,0.39,1.10,1.10,"",4,7.4,-1,-0.5,1732366,16.3,78842,3.5,-853,-3.6,157,16.8,8197,16.9
"01061","5","23","74","0","2024","A","",65,209,9383254,2229934,15480,864,44932,"",1.38,0.73,0.72,0.64,0.67,0.98,0.98,"",2,3.2,12,6.1,1166272,14.2,-18435,-0.8,-11127,-41.8,63,7.9,3257,7.8
"01063","5","23","74","0","2024","A","",8,91,6400312,1261271,3031,1346,70013,"",0.59,1.00,1.52,1.22,0.26,1.52,1.52,"",1,14.3,14,18.2,1561460,32.3,69992,5.9,-363,-10.7,130,10.7,6760,10.7
"01065","5","23","74","0","2024","A","",24,174,10542286,1970159,15996,1165,60588,"",0.93,1.27,1.46,1.39,1.33,1.15,1.15,"",1,4.3,3,1.8,1384492,15.1,58794,3.1,-4063,-20.3,136,13.2,7060,13.2
"01067","5","23","74","0","2024","A","",31,226,15218361,2338321,6879,1293,67239,"",0.95,1.10,1.22,1.00,0.44,1.11,1.11,"",-1,-3.1,6,2.7,1086623,7.7,159919,7.3,-4163,-37.7,56,4.5,2931,4.6
"01069","5","23","74","0","2024","A","",260,2156,135095680,23984067,134712,1205,62651,"",0.90,0.81,0.88,0.73,0.58,1.09,1.09,"",8,3.2,71,3.4,8776303,6.9,626545,2.7,-40330,-23.0,40,3.4,2059,3.4
"01071","5","23","74","0","2024","A","",98,712,38952493,7969418,47534,1053,54741,"",1.06,0.88,0.91,0.78,0.51,1.03,1.03,"",0,0.0,66,10.2,5504754,16.5,587395,8.0,-12810,-21.2,57,5.7,2944,5.7
"01073","5","23","74","0","2024","A","",1536,19368,1664515992,218582744,1453171,1653,85941,"",0.86,1.01,1.13,0.93,0.79,1.12,1.12,"",33,2.2,716,3.8,125983757,8.2,7282978,3.4,-538657,-27.0,67,4.2,3454,4.2
"01075","5","23","74","0","2024","A","",20,73,3328277,839875,7474,877,45593,"",0.86,0.41,0.34,0.39,0.39,0.84,0.84,"",-1,-4.8,8,12.3,479565,16.8,164649,24.4,-438,-5.5,31,3.7,1597,3.6
